Time_in_mint,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,PeriodOfDay,ForecastWindProduction,SystemLoadEA,SMPEA,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEA2
750,0,2,44,2,12,2019,24,1272.2,4979.75,68.62,13,48.2,459.46,1326,4488.02,57.54
780,0,2,44,2,12,2019,25,1268.7,5021.31,68.61,13,44.4,455.1,1364,4520.37,58.18
810,0,2,44,2,12,2019,26,1265.9,5012.99,68.61,13,44.4,455.02,1356,4465.23,56.39
840,0,2,44,2,12,2019,27,1263.8,4940.5,68.6,13,48.2,453.15,1373,4396.55,54.81
870,0,2,44,2,12,2019,28,1264,4950.29,68.6,12,44.4,457.66,1353,4431.86,55.09
900,0,2,44,2,12,2019,29,1268.3,4981.91,68.6,13,50,459.48,1340,4454.54,56.72
930,0,2,44,2,12,2019,30,1267.6,5000.96,68.6,12,51.9,453.33,1323,4492.34,57.68
960,0,2,44,2,12,2019,31,1251.7,5018.97,68.59,13,46.3,448.18,1322,4549.44,57.99
990,0,2,44,2,12,2019,32,1235.1,5156.49,78.2,13,50,433.72,1398,4659.24,69.95
1020,0,2,44,2,12,2019,33,1216.9,5455.41,82.02,13,46.3,439.11,1378,4924.02,76.57
1050,0,2,44,2,12,2019,34,1391.81,5695.26,108.59,13,42.6,441.09,1394,5216.66,245.87
1080,0,2,44,2,12,2019,35,1390.12,5971.94,156.78,13,37,430.96,1389,5312.16,251.01
1110,0,2,44,2,12,2019,36,1387.98,5946.36,156.78,13,42.6,429.17,1412,5205.09,94.55
1140,0,2,44,2,12,2019,37,1385.12,5771.51,128.16,13,40.7,440.82,1377,5052.31,86.17
1170,0,2,44,2,12,2019,38,1381.62,5580.8,103.81,13,42.6,439.2,1367,4930.86,76.24
1200,0,2,44,2,11,2019,39,1377.47,5446.87,74.99,13,42.6,439.45,1338,4788.65,72.92
1230,0,2,44,2,12,2019,40,1372.65,5228.61,71.42,13,40.7,436.44,1328,4621.2,58.61
1260,0,2,44,2,11,2019,41,1359.83,5073.67,58.33,13,38.9,426.1,1340,4499.07,55.93
1290,0,2,44,2,12,2019,42,1345.88,4958.04,58.33,13,38.9,410.56,1356,4345.07,53.6
1320,0,2,44,2,11,2019,43,1330.42,4741.71,55.51,12,33.3,396.23,1342,4178.42,50.33
1350,0,2,44,2,12,2019,44,1313.28,4528.98,54.93,12,29.6,404.72,1351,3964.79,48.8
1380,0,2,44,2,11,2019,45,1294.48,4236.24,54.65,12,29.6,405.89,1315,3751.52,48.36
1410,0,2,44,2,12,2019,46,1273.91,4100.56,54.93,12,33.3,395.18,1310,3664.19,48.36
1440,0,2,44,2,11,2019,47,1245.68,3957.31,54.65,12,33.3,385.27,1270,3465.06,48.36
1470,0,3,44,3,12,2019,0,1214.47,3645.55,54.21,12,35.2,373.89,1252,3235.88,47.38
1500,0,3,44,3,11,2019,1,1178.77,3418.87,51.89,12,29.6,320.85,1258,3058.27,45.39
1530,0,1,21,22,6,2020,27,469.76,4480.41,46.44,12,16.7,555.8,355,4299.19,91.02
